t,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,cmd_thrust,roll_rad,pitch_rad,yaw_rad,alt_m,servo1,servo2,servo3,servo4
12.539,10.000,0.000,0.000,0.550,0.174193,-0.000097,0.000615,10.996,595.070,1596,1596,1596,1596
12.581,10.000,0.000,0.000,0.550,0.174180,-0.000112,0.000595,11.021,595.100,1596,1596,1596,1596
12.621,10.000,0.000,0.000,0.550,0.174164,-0.000127,0.000575,11.021,595.100,1596,1596,1596,1596
12.663,10.000,0.000,0.000,0.550,0.174171,-0.000139,0.000548,11.046,595.120,1596,1596,1596,1596
12.704,10.000,0.000,0.000,0.550,0.174171,-0.000139,0.000548,11.046,595.120,1596,1596,1596,1596
12.744,10.000,0.000,0.000,0.550,0.174238,-0.000125,0.000545,11.046,595.120,1596,1596,1596,1596
12.786,10.000,0.000,0.000,0.550,0.174363,-0.000083,0.000553,11.071,595.150,1596,1596,1595,1596
12.827,10.000,0.000,0.000,0.550,0.174470,-0.000064,0.000565,11.071,595.150,1596,1596,1595,1596
12.868,10.000,0.000,0.000,0.550,0.174567,-0.000090,0.000586,11.096,595.170,1596,1596,1596,1595
12.909,10.000,0.000,0.000,0.550,0.174567,-0.000090,0.000586,11.096,595.170,1596,1596,1596,1595
12.950,10.000,0.000,0.000,0.550,0.174633,-0.000093,0.000618,11.096,595.170,1596,1596,1596,1595
12.991,10.000,0.000,0.000,0.550,0.174717,-0.000077,0.000630,11.121,595.200,1596,1596,1596,1595
15.058,0.000,0.000,0.000,0.550,0.174602,0.000006,0.000049,11.620,595.700,1596,1595,1595,1595
15.099,0.000,0.000,0.000,0.550,0.174018,-0.000007,0.000051,11.620,595.700,1596,1595,1595,1595
15.141,0.000,0.000,0.000,0.550,0.146288,0.000019,0.000081,11.645,595.720,1596,1594,1595,1595
15.182,0.000,0.000,0.000,0.550,0.107046,0.000029,0.000081,11.645,595.720,1596,1594,1595,1595
15.223,0.000,0.000,0.000,0.550,0.107046,0.000029,0.000081,11.645,595.720,1596,1594,1595,1595
15.264,0.000,0.000,0.000,0.550,0.075842,0.000020,0.000068,11.671,595.750,1590,1595,1592,1592
15.305,0.000,0.000,0.000,0.550,0.052497,0.000054,0.000064,11.671,595.750,1590,1595,1592,1592
15.347,0.000,0.000,0.000,0.550,0.035672,0.000085,0.000058,11.696,595.770,1590,1593,1592,1592
15.387,0.000,0.000,0.000,0.550,0.023822,0.000113,0.000008,11.696,595.770,1590,1593,1592,1592
15.428,0.000,0.000,0.000,0.550,0.023822,0.000113,0.000008,11.696,595.770,1590,1593,1592,1592
15.469,0.000,0.000,0.000,0.550,0.015554,0.000093,-0.000024,11.721,595.800,1591,1593,1592,1592
15.510,0.000,0.000,0.000,0.550,0.009921,0.000085,-0.000032,11.721,595.800,1591,1593,1592,1592
15.551,0.000,0.000,0.000,0.550,0.006173,0.000120,-0.000032,11.746,595.820,1592,1593,1592,1592
15.592,0.000,0.000,0.000,0.550,0.003649,0.000161,-0.000078,11.746,595.820,1592,1593,1592,1592
15.633,0.000,0.000,0.000,0.550,0.003649,0.000161,-0.000078,11.746,595.820,1592,1593,1592,1592
15.675,0.000,0.000,0.000,0.550,0.002041,0.000194,-0.000100,11.770,595.850,1592,1592,1592,1592
15.716,0.000,0.000,0.000,0.550,0.001018,0.000220,-0.000090,11.770,595.850,1592,1592,1592,1592
15.758,0.000,0.000,0.000,0.550,0.000335,0.000211,-0.000051,11.795,595.870,1593,1593,1593,1592
15.798,0.000,0.000,0.000,0.550,0.000335,0.000211,-0.000051,11.795,595.870,1593,1593,1593,1592
15.839,0.000,0.000,0.000,0.550,-0.000095,0.000208,-0.000060,11.795,595.870,1593,1593,1593,1592
15.880,0.000,0.000,0.000,0.550,-0.000397,0.000182,-0.000048,11.819,595.890,1593,1593,1592,1593
15.921,0.000,0.000,0.000,0.550,-0.000603,0.000155,-0.000015,11.819,595.890,1593,1593,1592,1593
15.962,0.000,0.000,0.000,0.550,-0.000779,0.000110,0.000028,11.844,595.920,1593,1593,1593,1593
16.003,0.000,0.000,0.000,0.550,-0.000779,0.000110,0.000028,11.844,595.920,1593,1593,1593,1593
16.043,0.000,0.000,0.000,0.550,-0.000807,0.000048,0.000007,11.844,595.920,1593,1593,1593,1593
16.084,0.000,0.000,0.000,0.550,-0.000807,0.000001,-0.000011,11.868,595.940,1593,1593,1593,1593
16.125,0.000,0.000,0.000,0.550,-0.000815,-0.000020,-0.000015,11.868,595.940,1593,1593,1593,1593
16.167,0.000,0.000,0.000,0.550,-0.000825,-0.000023,-0.000004,11.893,595.970,1593,1593,1593,1592
